Image	Centroid X µm	Centroid Y µm	Area µm^2
3258.czi	27467.8	2252.6	55.0135
3258.czi	8255.1	6538.4	56.3296
3258.czi	28664.2	7709.1	91.6726
3258.czi	6325.2	7771.1	37.4513
3258.czi	23994.6	3236.3	39.527
3258.czi	18360.1	7532.3	46.3573
3258.czi	29337.3	7906.7	39.0772
3258.czi	10294.4	12357.8	62.6783
3258.czi	20107.8	11971.5	46.9426
3258.czi	10379.4	11292.4	69.8298
3258.czi	15713.8	12242	50.2759
3258.czi	14696.9	10470.8	38.6441
3258.czi	16993.9	5407.4	76.8428
3258.czi	21146.1	7428.2	42.3325
3258.czi	24376.6	8649.9	41.6212
3258.czi	9805.1	4201.1	37.2405
3258.czi	25952.9	8735.7	41.737
3258.czi	22603.9	7556.4	69.8369
3258.czi	4640.4	4504.8	70.0929
3258.czi	20926	11036.2	31.6474
3258.czi	11983.9	12616	47.7753
3258.czi	8986.1	12615.1	43.9863
3258.czi	20238	3735.9	40.5141
3258.czi	31811.8	2771.6	42.1882
3258.czi	25898.5	6612.6	34.6783
3258.czi	31587.4	2066.4	47.3611
3258.czi	11793.8	12243.6	69.5455
3258.czi	8518.3	13180	68.9598
3258.czi	24227.7	2731.7	60.9297
3258.czi	28021.3	2831.4	71.4248
3258.czi	6854.1	8125.3	74.3386
3258.czi	33344.2	796.31	34.8973
3258.czi	22399	11401.1	37.6202
3258.czi	18505.4	8209.4	42.8468
3258.czi	14703.1	10474.1	34.0427
3258.czi	20130.8	7589.8	57.1238
3258.czi	20045.8	4125.4	53.0357
3258.czi	17231.1	9463.4	33.783
3258.czi	4615.9	2268.4	64.3672
3258.czi	7267.6	11889.6	73.2085
3258.czi	21901.8	11189.5	41.349
3258.czi	2549.4	8187.2	43.2161
3258.czi	22011.1	11232.4	52.2265
3258.czi	6427.5	2811.3	37.9057
3258.czi	9787.8	12328.9	45.7672
3258.czi	26857.8	7929	58.156
3258.czi	22179.2	7521.4	37.9767
3258.czi	26051	9171.7	55.759
3258.czi	18458.2	11853.4	46.5254
3258.czi	30283.9	3208.1	42.1831
3258.czi	19417.2	4382.2	39.7705
3258.czi	18041.8	6182	52.7655
3258.czi	5050	2433.6	52.9018
3258.czi	34130.1	3175.8	42.035
3258.czi	18662.8	6157.1	71.7522
3258.czi	27336.4	8609.9	82.6902
3258.czi	23588.5	4704.7	63.9588
3258.czi	19376.7	11864.2	49.1757
3258.czi	6323.8	4044.6	46.6943
3258.czi	7620.8	13159.5	53.1254
3258.czi	20600.8	11044.8	42.7474
3258.czi	10812	12253.9	38.8281
3258.czi	10641.8	12001.8	87.7986
3258.czi	19293	8198.1	83.3905
3258.czi	2320.3	10888.6	69.9624
3258.czi	17636	2543.9	104.6543
3258.czi	10320.3	12086.3	72.2635
3258.czi	7039.7	13029.9	59.2169
3258.czi	25122.2	8772.9	65.3141
3258.czi	20631	10089.1	73.853
3258.czi	1904.9	5853.4	61.3215
3258.czi	10180.2	2289.4	52.2412
3258.czi	16456.4	6432	78.332
3258.czi	26093.8	5510.2	47.8171
3258.czi	18657.2	10256.2	93.4297
3258.czi	22609.2	8005.4	37.3687
3258.czi	22349.1	7887	46.1164
3258.czi	18320.3	9546.5	44.1385
3258.czi	17102.4	2830	97.4251
3258.czi	20604.9	11748.8	53.9302
3258.czi	32166.6	1289.1	51.9734
3258.czi	20986.8	10005.3	73.935
3258.czi	17889.8	5335.5	47.7572
3258.czi	20596.8	10747	85.9149
3258.czi	12660.6	10745.9	45.5412
3258.czi	18330.4	11707.8	53.1601
3258.czi	11274.4	4919.9	53.3707
3258.czi	4421.4	4969.8	64.8032
3258.czi	27235.4	2729	58.5723
3258.czi	13106.3	11163.2	95.298
3258.czi	23562	9943.8	51.499
3258.czi	6928	10502	77.7349
3258.czi	21430.4	8227.1	38.3414
3258.czi	20035.2	8250.2	54.3139
3258.czi	17091.1	10638.3	38.2941
3258.czi	27895.3	4945.9	43.3602
3258.czi	28409.2	6218.6	40.852
3258.czi	13713.3	11939.2	49.895
3258.czi	20306.4	3709.8	51.3023
3258.czi	19958.5	7507	79.3232
3258.czi	9456	4307	39.112
3258.czi	5783.7	2369.2	39.3548
